티커,종가,시가총액,거래량,거래대금,상장주식수,date
023910,29200,175200000000,2428,70764450,6000000,20230131
102370,6440,175001429400,2057305,13296811650,27174135,20230131
083650,6730,174980000000,208426,1396807670,26000000,20230131
236200,24300,174796533900,15411,371612150,7193273,20230131
950190,12840,174365813280,22926,294034430,13579892,20230131
036190,29050,174300000000,1757,51101500,6000000,20230131
079810,10890,174241023660,773305,8189556970,16000094,20230131
274090,14220,174161554560,589620,8222211780,12247648,20230131
051360,10590,173856644220,230708,2425769400,16417058,20230131
397030,16450,173728861250,21350,351174920,10561025,20230131
262260,11990,173143309570,164304,1979023080,14440643,20230131
061040,5390,172961106010,227962,1229008150,32089259,20230131
074430,1969,172931055836,181958,357407798,87826844,20230131
047310,5000,172104910000,85936,428064945,34420982,20230131
211270,11400,171938265600,455024,5171679430,15082304,20230131
023600,10630,171887100000,18187,192028280,16170000,20230131
087010,8320,171615416960,51329,426581180,20626853,20230131
093640,8580,171614465880,11345160,89734070480,20001686,20230131
361390,22850,171393028650,145607,3293139050,7500789,20230131
203650,3380,171047448520,1929490,6486181560,50605754,20230131
376190,6950,170970000000,4687,32467250,24600000,20230131
063570,5000,170738640000,68515,342262210,34147728,20230131
257720,2830,170301572220,2472402,7026240120,60177234,20230131
031980,7890,170127296550,41122,325592170,21562395,20230131
089890,10250,169995860500,285390,2940555220,16584962,20230131
111710,8240,169645120000,16505,136044130,20588000,20230131
079940,12520,169466763680,77935,965022580,13535684,20230131
041930,10700,169060000000,1401685,14306307630,15800000,20230131
007330,11190,168776532000,156693,1762999980,15082800,20230131
067290,3480,168526575960,249207,861415275,48427177,20230131
123860,14390,168522110230,314127,4544132220,11711057,20230131
304840,14210,167836569390,123432,1758455830,11811159,20230131
159580,8360,167472836960,160435,1338368680,20032636,20230131
067900,9200,167436862800,58269,535890410,18199659,20230131
092730,20350,167019796350,6997,140846020,8207361,20230131
300080,32000,167009472000,2084049,66018113450,5219046,20230131
035610,6100,166810581700,7766863,47855076670,27345997,20230131
102120,9370,166605655610,96506,900719100,17780753,20230131
214270,5010,166584819630,6784558,34136977085,33250463,20230131
040910,9190,166021145470,10095,92670290,18065413,20230131
